Area Code,Area,Item Code,Item,Element Code,Element,cat,Unit,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
10,Australia,2901,Grand Total,664,Food supply (kcal/capita/day),0,kcal/capita/day,3410,3390,3437,3429,3413,3401,3428,3404,3394,3417
10,Australia,2901,Grand Total,674,Protein supply quantity (g/capita/day),0,g/capita/day,110.87,110.66,110.1,109.4,107.83,108.23,108.97,106.74,107.51,107.94
10,Australia,2901,Grand Total,684,Fat supply quantity (g/capita/day),1,g/capita/day,151.27,155.21,156.43,152.66,158.2,159.48,160.69,158.98,160.48,159.73
10,Australia,2903,Vegetal Products,664,Food supply (kcal/capita/day),0,kcal/capita/day,2363,2327,2368,2373,2345,2301,2304,2320,2295,2318
10,Australia,2903,Vegetal Products,674,Protein supply quantity (g/capita/day),1,g/capita/day,36.81,34.82,35.3,35.56,34.59,34.22,34.38,34.91,35.24,35.03
10,Australia,2903,Vegetal Products,684,Fat supply quantity (g/capita/day),0,g/capita/day,78.17,81.29,81.71,78.45,81.96,80.3,78.95,80.51,80.77,80.67
10,Australia,2941,Animal Products,664,Food supply (kcal/capita/day),0,kcal/capita/day,1048,1063,1069,1056,1068,1100,1124,1084,1099,1099
10,Australia,2941,Animal Products,674,Protein supply quantity (g/capita/day),1,g/capita/day,74.07,75.84,74.8,73.84,73.24,74,74.6,71.83,72.28,72.91
10,Australia,2941,Animal Products,684,Fat supply quantity (g/capita/day),1,g/capita/day,73.11,73.93,74.72,74.21,76.24,79.18,81.74,78.46,79.71,79.07
10,Australia,2905,Cereals - Excluding Beer,5511,Production,,1000 tonnes,33495,40003,43403,35621,38448,37225,35260,50079,33892,29272
10,Australia,2905,Cereals - Excluding Beer,5611,Import Quantity,,1000 tonnes,518,489,461,550,618,644,656,593,621,1249
10,Australia,2905,Cereals - Excluding Beer,5072,Stock Variation,,1000 tonnes,-1216,3489,-864,-1370,99,573,-1025,3234,-1532,19
10,Australia,2905,Cereals - Excluding Beer,5911,Export Quantity,,1000 tonnes,21707,24673,32233,26178,26828,25620,24246,32913,20946,14398
10,Australia,2905,Cereals - Excluding Beer,5301,Domestic supply quantity,,1000 tonnes,13522,12331,12496,11363,12139,11676,12695,14525,15099,16103
10,Australia,2905,Cereals - Excluding Beer,5521,Feed,,1000 tonnes,8769,7414,7555,6270,7130,6706,7654,9045,10212,11181
10,Australia,2905,Cereals - Excluding Beer,5527,Seed,,1000 tonnes,922,914,917,857,892,841,810,1176,781,708
10,Australia,2905,Cereals - Excluding Beer,5123,Losses,,1000 tonnes,382,454,499,420,396,420,391,487,345,302
10,Australia,2905,Cereals - Excluding Beer,5131,Processing,,1000 tonnes,478,454,478,466,566,552,604,590,536,569
10,Australia,2905,Cereals - Excluding Beer,5154,Other uses (non-food),,1000 tonnes,950,1004,973,1126,947,935,955,864,857,932
10,Australia,2905,Cereals - Excluding Beer,5171,Tourist consumption,,1000 tonnes,,,,,,,,,,
10,Australia,2905,Cereals - Excluding Beer,5170,Residuals,,1000 tonnes,7,-4,-6,-8,-11,-4,-9,-2,-6,0
10,Australia,2905,Cereals - Excluding Beer,5142,Food,,1000 tonnes,2014,2093,2080,2232,2218,2225,2290,2366,2373,2411
10,Australia,2905,Cereals - Excluding Beer,645,Food supply quantity (kg/capita/yr),,kg,90.9,92.89,90.81,95.99,94.02,92.97,94.38,96.23,95.32,95.65
10,Australia,2905,Cereals - Excluding Beer,664,Food supply (kcal/capita/day),,kcal/capita/day,698,725,740,774,733,725,737,743,743,747
10,Australia,2905,Cereals - Excluding Beer,674,Protein supply quantity (g/capita/day),,g/capita/day,20.21,22.42,22.6,22.31,21.83,21.3,21.67,22.17,22.31,21.96
10,Australia,2905,Cereals - Excluding Beer,684,Fat supply quantity (g/capita/day),,g/capita/day,2.62,2.76,2.78,3,2.83,2.82,2.88,2.94,2.9,2.96
10,Australia,2511,Wheat and products,5511,Production,,1000 tonnes,21834,27410,29905,22856,25303,23743,22275,31819,20941,17598
10,Australia,2511,Wheat and products,5611,Import Quantity,,1000 tonnes,170,185,197,261,296,321,312,260,278,795
10,Australia,2511,Wheat and products,5072,Stock Variation,,1000 tonnes,-1248,3845,-276,-1094,-92,125,-815,1852,-1206,-107
10,Australia,2511,Wheat and products,5911,Export Quantity,,1000 tonnes,16143,17812,23721,18171,18437,17234,16333,22294,12723,9884
10,Australia,2511,Wheat and products,5301,Domestic supply quantity,,1000 tonnes,7108,5938,6657,6040,7254,6705,7069,7933,9703,8616
10,Australia,2511,Wheat and products,5521,Feed,,1000 tonnes,3764,2455,3134,2509,3593,3128,3458,4086,6192,5116
10,Australia,2511,Wheat and products,5527,Seed,,1000 tonnes,695,662,676,631,627,589,552,789,519,466
10,Australia,2511,Wheat and products,5123,Losses,,1000 tonnes,218,274,299,229,253,237,223,318,209,181
10,Australia,2511,Wheat and products,5131,Processing,,1000 tonnes,112,87,71,72,81,76,78,71,70,74
10,Australia,2511,Wheat and products,5154,Other uses (non-food),,1000 tonnes,809,870,871,902,931,914,935,846,836,884
10,Australia,2511,Wheat and products,5171,Tourist consumption,,1000 tonnes,,,,,,,,,,
10,Australia,2511,Wheat and products,5170,Residuals,,1000 tonnes,0,0,0,0,0,0,0,0,0,0
10,Australia,2511,Wheat and products,5142,Food,,1000 tonnes,1510,1590,1607,1698,1768,1761,1824,1823,1877,1894
10,Australia,2511,Wheat and products,645,Food supply quantity (kg/capita/yr),,kg,68.14,70.55,70.14,73,74.92,73.59,75.18,74.14,75.37,75.15
10,Australia,2511,Wheat and products,664,Food supply (kcal/capita/day),,kcal/capita/day,540,566,591,611,597,597,600,591,603,611
10,Australia,2511,Wheat and products,674,Protein supply quantity (g/capita/day),,g/capita/day,16.96,19.02,19.48,18.8,18.92,18.52,18.73,18.82,19.27,18.99
10,Australia,2511,Wheat and products,684,Fat supply quantity (g/capita/day),,g/capita/day,2.23,2.29,2.4,2.49,2.46,2.46,2.5,2.46,2.51,2.57
10,Australia,2807,Rice and products,5511,Production,,1000 tonnes,197,723,919,1161,819,690,274,807,635,67
10,Australia,2807,Rice and products,5611,Import Quantity,,1000 tonnes,312,260,217,236,259,255,274,267,272,344
10,Australia,2807,Rice and products,5072,Stock Variation,,1000 tonnes,-95,47,-42,49,5,-17,-211,244,34,-290
10,Australia,2807,Rice and products,5911,Export Quantity,,1000 tonnes,83,443,721,732,642,522,264,300,420,216
10,Australia,2807,Rice and products,5301,Domestic supply quantity,,1000 tonnes,520,493,457,616,431,441,496,530,452,485
10,Australia,2807,Rice and products,5521,Feed,,1000 tonnes,0,0,0,0,0,0,0,0,0,0
10,Australia,2807,Rice and products,5527,Seed,,1000 tonnes,2,8,10,11,9,7,3,9,7,1
10,Australia,2807,Rice and products,5123,Losses,,1000 tonnes,8,12,15,19,8,7,11,8,6,1
10,Australia,2807,Rice and products,5131,Processing,,1000 tonnes,4,3,2,3,107,111,167,148,99,126
10,Australia,2807,Rice and products,5154,Other uses (non-food),,1000 tonnes,133,125,91,213,0,0,0,0,0,0
10,Australia,2807,Rice and products,5171,Tourist consumption,,1000 tonnes,,,,,,,,,,
10,Australia,2807,Rice and products,5170,Residuals,,1000 tonnes,0,0,0,0,0,0,0,0,0,0
10,Australia,2807,Rice and products,5142,Food,,1000 tonnes,373,345,339,370,308,315,315,366,340,358
